age,mothers_education,fathers_education,mothers_job,fathers_job,study_time,family_support,activities,internet,relationship,family_relationship,free_time,go_out,health,absences,final_grade,alcohol_consumption
18,4,4,1,1,2,1,1,1,1,2,4,4,4,2,13,1
17,2,2,2,3,3,1,0,1,1,4,2,3,1,8,15,1
19,3,2,3,3,2,1,0,1,0,3,3,3,3,0,10,3
18,4,3,4,3,1,0,1,1,0,4,2,3,1,0,10,2
18,1,2,0,2,1,0,0,1,0,3,4,4,4,10,11,3
17,4,1,3,2,1,0,1,1,1,4,5,4,5,22,10,3
17,3,2,4,3,1,0,0,1,0,4,4,4,3,18,13,4
18,1,1,0,2,4,1,1,0,0,5,2,2,3,2,18,1
18,1,1,2,2,2,0,1,1,0,5,4,4,4,0,13,1
17,2,2,2,2,2,1,0,1,0,5,4,5,5,12,14,2
18,2,1,2,2,2,0,1,1,1,4,3,1,5,10,14,1
17,1,1,2,2,2,0,0,1,0,4,3,3,4,0,12,2
18,2,2,0,0,3,1,0,1,0,4,3,3,2,0,18,2
17,1,1,3,4,3,1,0,1,0,4,3,3,3,0,14,1
18,2,1,3,3,3,0,1,1,0,4,2,4,2,0,15,2
18,4,4,4,4,2,1,1,1,0,5,4,3,2,0,17,1
18,4,2,4,2,2,1,1,1,1,4,3,2,5,2,16,3
17,4,3,1,3,3,1,0,1,0,4,2,2,3,0,18,2
17,3,1,3,2,4,1,0,0,0,3,1,2,3,0,19,1
18,3,2,3,2,3,1,1,1,0,5,4,2,4,0,15,1
17,3,3,1,2,1,1,0,1,0,4,4,3,5,0,15,2
19,4,4,1,2,2,1,1,1,0,2,3,4,2,2,13,3
18,4,3,2,2,2,1,0,1,1,4,4,5,2,0,14,2
18,4,3,2,2,4,1,0,1,0,4,3,3,3,0,17,1
18,4,4,4,4,1,1,0,1,1,1,4,2,1,0,17,2
18,4,4,1,2,2,1,0,1,1,4,2,4,4,0,15,1
17,4,4,2,4,1,0,0,1,0,4,1,1,5,0,13,2
17,4,4,3,3,3,1,1,1,0,5,3,4,5,0,8,1
17,4,2,2,2,3,1,0,1,0,4,3,3,3,0,16,1
17,3,2,1,1,4,1,1,1,0,5,2,2,5,0,18,2
19,2,1,0,3,3,0,1,1,1,4,3,1,5,0,11,1
20,3,2,3,2,1,0,1,0,0,5,5,3,5,0,15,1
19,3,3,2,3,2,0,1,0,1,4,5,3,5,0,11,2
18,1,4,2,4,2,1,0,0,1,3,4,4,5,2,11,2
18,2,1,3,2,2,1,1,1,0,5,3,3,1,2,15,2
17,2,3,2,2,2,0,1,1,1,4,2,1,3,2,14,1
17,4,4,4,4,1,0,1,1,0,4,4,4,5,2,17,1
18,4,3,2,2,3,1,1,1,1,4,3,4,5,2,17,1
18,4,3,1,3,1,1,0,1,0,3,2,4,1,8,15,3
17,3,4,0,3,3,1,1,1,0,4,3,4,5,2,17,4
18,3,3,0,2,2,1,0,1,0,4,1,4,3,8,14,1
19,4,2,1,2,2,1,1,1,1,5,4,4,1,9,10,1
18,4,4,4,2,2,1,0,1,0,4,4,4,5,0,13,3
18,3,4,2,2,1,1,1,1,1,5,4,4,1,4,14,1
17,4,4,1,1,1,0,1,1,0,5,3,4,5,2,17,2
17,4,3,3,3,2,1,0,1,1,5,2,2,5,14,17,2
17,3,3,3,2,2,1,0,1,0,5,3,3,5,0,13,1
17,2,1,2,2,2,0,1,1,0,4,2,3,2,2,14,2
18,4,4,2,2,1,1,0,1,0,4,2,5,5,2,11,4
19,1,1,2,2,3,0,1,0,1,1,5,5,5,12,11,3
19,1,1,2,2,2,1,0,1,1,5,3,4,4,2,9,1
18,2,2,2,2,1,1,1,1,1,4,3,5,5,2,10,3
17,2,2,2,2,2,1,0,0,1,4,2,2,3,4,13,1
17,2,2,3,3,3,1,1,1,0,3,3,2,3,0,10,2
17,3,1,3,3,3,1,0,1,0,3,4,3,5,0,17,3
17,0,2,0,0,3,0,0,1,0,3,3,3,2,0,15,3
18,1,1,2,2,3,0,1,1,0,4,5,5,2,0,14,2
18,4,4,2,2,3,0,1,1,0,4,3,3,3,0,13,2
17,3,3,2,3,1,0,1,1,0,4,3,5,5,0,17,4
17,2,2,3,2,1,1,0,1,0,4,4,5,4,2,10,4
17,4,4,4,3,3,1,1,1,0,5,4,4,4,0,13,2
17,4,4,4,4,3,1,0,1,1,4,3,3,4,4,15,2
17,3,3,0,2,1,1,1,1,0,4,2,5,5,2,11,4
18,2,2,2,2,4,1,1,1,0,4,5,5,5,0,12,3
19,3,2,0,3,1,1,0,0,1,5,3,4,5,0,10,2
18,2,2,0,2,2,0,1,0,1,4,2,5,2,2,10,1
17,2,4,0,2,3,1,0,1,1,4,4,3,5,0,15,1
18,2,2,2,2,1,0,0,1,0,5,4,2,5,6,15,2
18,3,3,3,3,2,0,1,1,0,5,3,4,4,8,12,1
18,2,2,2,2,2,0,1,1,1,4,3,3,2,0,12,1
18,2,2,0,2,4,0,1,0,0,4,4,4,4,6,14,1
17,3,4,3,2,3,0,0,1,0,4,4,5,5,8,14,2
17,3,2,2,2,2,1,0,1,1,4,3,2,2,0,15,3
18,3,3,3,3,4,1,0,1,0,5,3,3,1,4,15,1
17,3,2,2,2,2,1,0,1,0,4,3,3,2,0,16,3
18,4,4,4,3,2,1,1,1,0,4,3,3,2,0,13,2
18,3,4,3,2,2,0,1,1,1,4,3,3,5,6,17,2
17,2,2,0,0,2,1,0,1,1,3,3,1,4,18,14,2
18,2,3,0,2,3,1,0,1,0,4,3,3,3,0,14,2
18,3,2,2,3,3,0,0,1,1,5,4,3,1,4,17,3
18,4,3,4,3,3,0,0,1,1,5,3,2,4,4,17,2
18,4,3,4,2,3,1,0,1,1,5,4,5,5,0,14,3
17,4,3,1,2,3,1,1,1,1,4,4,3,4,0,13,2
17,2,1,3,2,2,1,1,1,1,4,3,4,1,10,15,2
17,2,1,3,2,2,1,1,1,0,4,3,5,4,4,16,3
19,2,3,0,2,1,0,0,1,0,2,2,3,5,16,11,4
17,3,1,2,0,1,1,0,1,1,4,1,2,3,6,13,1
21,4,4,2,2,3,0,1,1,0,3,3,2,5,0,12,1
18,2,2,3,3,2,1,1,1,0,4,4,4,3,11,12,2
18,3,4,2,2,2,0,1,1,1,4,3,5,2,9,15,3
17,2,2,3,3,2,1,1,1,0,4,3,4,4,0,17,2
17,4,4,1,2,3,1,0,1,0,4,4,2,4,2,15,2
18,4,2,4,2,2,1,1,1,0,4,2,2,3,0,17,1
21,1,1,0,2,2,1,1,1,1,5,3,3,4,21,10,3
20,1,1,2,2,3,0,0,1,1,3,2,2,3,8,15,2
19,4,4,4,2,1,1,0,1,1,3,2,5,5,5,11,4
17,3,2,2,2,2,1,0,1,0,4,4,4,5,10,18,2
18,3,2,0,2,3,1,0,1,1,4,3,4,2,5,17,2
18,2,3,2,3,1,0,0,1,0,3,1,3,4,13,14,4
19,2,1,2,2,1,0,0,1,0,5,3,4,4,10,11,3
18,2,2,3,2,2,1,0,1,0,4,1,4,4,10,17,2
20,1,0,2,2,1,0,0,1,1,5,3,1,5,5,10,1
18,3,2,3,2,2,1,1,1,1,3,1,2,1,4,13,2
16,1,3,0,2,1,1,0,1,1,4,3,3,5,11,11,2
16,2,2,2,2,2,1,1,1,0,4,4,4,5,0,12,1
15,1,1,0,3,1,1,0,0,1,4,1,3,2,6,10,1
15,3,3,0,2,1,1,0,1,0,5,4,4,5,4,11,3
16,2,3,0,3,2,0,0,0,0,4,5,2,5,0,17,2
15,2,1,0,2,1,0,0,0,0,1,3,4,1,0,9,1
16,4,4,0,2,2,1,0,0,0,5,3,2,2,5,11,2
16,1,2,2,2,3,0,0,1,0,4,4,3,5,0,11,1
17,3,2,0,2,2,0,0,0,1,4,5,4,5,0,10,2
17,1,1,2,2,1,1,0,1,0,5,4,4,5,0,7,2
15,4,4,4,2,1,0,0,1,1,1,5,1,5,0,14,4
16,2,2,0,2,4,0,1,0,1,1,2,1,1,4,11,1
15,1,1,0,3,2,1,0,1,0,5,4,3,4,0,10,2
15,1,1,2,3,1,1,0,1,1,4,4,3,2,4,8,2
16,0,2,2,2,1,1,1,0,0,3,2,3,2,0,12,2
17,2,3,2,2,1,1,0,1,0,5,5,5,3,2,12,2
15,3,3,2,3,1,0,0,1,0,4,1,3,4,0,16,1
16,1,1,0,3,2,1,1,0,1,5,4,5,3,0,0,4
17,1,1,2,2,2,0,0,1,0,4,4,3,5,4,9,3
15,4,1,1,3,2,1,1,1,0,5,3,4,2,0,14,2
15,4,1,1,3,2,1,1,1,0,5,3,4,2,7,8,2
16,3,4,2,1,2,0,0,0,0,3,4,5,5,4,11,2
15,1,1,2,2,2,1,1,0,1,5,4,5,4,8,9,3
15,3,3,0,0,2,1,1,1,0,5,3,3,5,0,11,1
17,2,1,2,2,1,0,1,0,1,5,5,5,3,8,9,4
16,4,4,4,4,3,0,1,1,1,4,2,2,4,6,17,1
15,1,2,2,3,1,0,0,0,0,5,1,2,1,3,13,1
16,2,3,2,3,2,1,0,1,0,4,5,4,1,2,15,2
16,1,2,2,2,2,0,0,0,0,4,3,3,5,0,11,1
16,2,2,2,2,2,1,0,1,0,4,4,5,4,4,11,1
16,1,2,2,3,3,1,0,0,0,1,3,2,4,0,8,2
16,1,2,2,3,3,1,0,0,0,1,3,2,4,3,8,2
15,2,1,0,2,2,1,0,1,0,4,4,2,2,0,9,3
16,1,1,0,2,2,1,0,0,1,5,4,3,2,0,15,1
17,1,2,0,3,1,1,1,1,0,5,5,5,3,4,11,4
16,1,1,2,2,4,1,0,1,0,4,3,2,1,0,13,1
16,1,1,0,2,3,1,0,0,0,4,4,3,5,2,10,1
15,1,1,0,2,2,1,1,1,0,4,3,3,2,1,11,1
16,1,1,0,2,1,0,1,1,1,4,2,2,2,0,14,3
15,1,1,0,0,2,1,0,0,0,4,2,1,2,0,14,2
15,2,2,2,2,3,1,0,0,0,4,4,3,5,2,12,2
16,1,1,0,2,1,0,1,0,0,3,4,4,5,6,11,4
18,1,2,2,2,2,1,1,1,1,3,4,4,5,9,8,3
15,3,1,2,3,1,1,0,0,0,3,2,3,4,0,11,2
16,2,2,2,3,2,1,1,1,0,5,3,4,2,1,14,1
15,2,2,1,2,1,0,0,0,0,4,3,3,4,1,13,2
16,4,4,2,4,2,1,1,0,1,4,3,1,3,0,13,1
15,3,3,3,2,2,1,0,1,1,4,5,4,1,4,12,1
16,2,2,0,2,2,1,1,0,0,4,4,4,5,2,12,3
16,2,2,2,2,1,1,1,0,1,4,3,2,4,0,16,1
16,2,1,0,3,1,1,1,1,0,2,4,3,4,4,10,3
15,1,3,0,2,1,1,1,1,0,4,2,4,3,2,11,4
15,2,2,2,3,3,1,1,0,0,5,3,2,4,0,14,1
16,2,1,2,2,1,1,0,1,1,5,4,3,5,2,8,1
15,3,3,3,3,1,1,1,1,0,4,3,3,3,11,11,3
16,1,1,0,2,2,1,0,0,0,3,4,3,1,0,8,1
17,2,2,2,0,1,1,1,0,0,4,5,3,5,4,10,1
19,2,3,0,3,1,0,0,1,1,4,4,4,2,0,10,1
17,2,1,0,2,1,1,1,0,1,5,5,3,3,2,11,1
15,1,1,0,2,1,1,0,0,1,5,2,1,4,0,9,2
16,2,2,2,2,2,1,0,1,0,3,4,5,1,1,11,2
16,2,2,2,2,1,1,0,0,0,4,3,4,1,6,8,2
17,2,2,0,2,2,1,0,1,0,4,3,5,4,0,11,2
16,2,2,2,3,1,1,1,1,0,4,4,3,3,1,10,3
18,3,2,2,2,3,1,0,0,1,3,3,2,2,6,10,1
19,1,1,0,3,3,0,1,0,1,5,3,1,3,6,9,1
18,1,1,2,2,1,0,1,1,0,4,4,3,4,0,10,4
18,1,1,0,0,1,0,0,1,1,3,2,3,2,4,10,1
19,1,1,2,2,2,1,0,1,1,1,1,4,1,12,9,2
16,2,2,1,2,2,0,0,0,1,3,3,2,3,2,10,1
17,0,1,2,0,1,0,1,0,0,2,4,4,5,5,10,4
16,1,2,0,2,2,0,1,1,0,4,4,5,3,0,9,2
16,3,3,2,2,1,0,1,1,1,4,5,4,4,0,13,1
16,1,1,3,3,1,1,1,1,1,4,4,4,4,2,14,2
17,3,3,3,0,4,1,1,0,0,5,4,5,5,0,10,4
16,2,1,2,3,2,1,1,1,0,5,3,3,1,0,14,1
16,2,2,3,2,1,1,1,0,1,4,2,5,5,0,16,2
17,1,2,2,2,1,1,1,1,1,5,3,5,1,12,7,4
16,4,3,2,2,1,0,1,1,0,4,2,5,5,8,13,4
17,2,2,3,3,4,1,0,0,0,1,3,5,3,2,9,4
16,1,1,2,2,4,1,1,1,0,2,2,1,5,0,14,1
19,2,2,2,2,3,0,0,1,1,5,4,5,1,0,13,1
17,1,1,0,2,1,1,1,1,1,4,4,5,5,0,11,2
20,3,3,0,3,2,0,1,1,1,3,3,4,3,8,10,3
17,1,1,2,3,3,1,0,0,1,4,3,3,3,0,10,1
17,2,2,2,2,1,1,0,1,0,4,4,5,5,0,9,2
16,1,1,0,2,2,1,0,0,0,5,3,2,1,0,18,1
17,2,2,2,2,2,1,1,0,0,5,3,2,1,0,17,1
17,1,0,2,2,2,0,0,1,1,4,4,5,4,1,10,1
18,1,1,0,2,2,1,0,1,1,4,3,2,5,9,7,1
16,3,1,2,2,1,0,1,1,0,3,1,3,1,0,8,2
16,3,2,3,0,1,0,0,1,0,3,1,3,3,2,7,3
18,1,1,2,0,2,0,0,0,0,2,3,5,3,8,10,3
16,4,4,1,4,2,0,1,1,1,4,3,3,2,0,16,3
16,1,2,2,2,1,0,1,1,0,5,4,5,2,0,15,3
18,2,4,2,3,2,1,0,1,0,2,3,2,1,8,8,2
16,2,1,2,3,2,0,1,1,0,5,2,1,2,0,0,1
16,1,1,0,2,2,1,0,1,0,4,3,2,5,6,8,2
16,2,3,0,3,2,1,1,1,0,3,3,3,2,0,10,1
16,4,4,1,1,2,1,0,1,1,4,3,4,3,4,8,2
18,4,4,0,1,4,1,1,1,1,5,5,5,5,2,6,4
16,3,4,0,2,2,1,0,0,0,4,2,1,2,2,8,1
17,4,4,2,3,3,1,0,1,0,4,4,3,5,0,16,2
17,4,1,2,2,1,0,0,1,1,4,2,3,5,1,14,2
16,2,2,3,3,3,0,0,0,0,5,1,3,3,0,10,2
17,2,2,0,2,1,1,0,1,0,5,1,3,5,5,9,2
16,4,4,3,3,1,1,0,0,0,5,1,3,5,1,11,2
17,3,3,3,3,1,1,1,1,0,4,1,4,3,8,9,4
17,1,1,0,3,2,0,0,1,1,5,1,3,1,0,10,3
16,2,1,1,3,2,0,0,1,1,4,2,2,5,2,8,3
16,2,1,2,3,2,0,0,1,1,3,2,2,3,0,16,1
16,4,4,4,1,1,1,0,1,0,4,1,2,5,0,12,4
15,1,2,2,3,2,1,1,0,0,5,5,5,5,11,10,2
15,2,2,2,2,4,1,1,0,0,5,4,5,5,8,14,3
15,2,1,3,3,1,0,1,1,0,4,3,3,5,11,12,2
16,2,2,2,2,3,1,0,0,1,4,3,3,5,2,11,2
16,4,1,2,2,2,1,1,1,0,1,2,4,1,8,10,2
17,3,2,0,2,1,0,0,0,1,4,3,3,1,5,11,2
17,2,2,2,2,2,0,0,0,0,5,1,3,5,0,11,1
16,4,4,4,3,3,1,0,1,1,5,3,5,5,1,12,3
17,4,4,1,2,1,0,1,1,1,3,3,3,5,2,8,2
17,1,3,2,2,1,0,1,0,1,5,1,2,5,2,12,3
17,3,4,3,2,2,1,1,1,1,5,4,4,5,8,8,4
17,4,4,1,1,2,1,0,1,0,5,2,5,5,0,16,1
16,4,1,2,0,1,0,0,1,0,4,1,2,2,0,11,1
17,1,1,0,0,2,0,1,1,1,4,5,5,3,2,11,2
17,4,2,2,2,2,1,0,1,0,4,3,3,5,0,18,3
16,2,2,2,3,2,1,0,1,1,4,1,2,5,0,13,2
17,3,2,2,2,2,1,0,1,0,4,1,2,1,0,13,2
19,1,1,2,2,2,1,1,1,0,4,4,3,4,2,10,4
17,1,0,2,2,1,0,0,0,1,4,1,2,5,4,12,1
17,1,1,0,0,1,1,1,1,1,3,5,5,4,3,10,2
16,1,2,2,2,3,1,0,1,1,4,3,4,3,5,13,1
16,1,2,2,0,1,0,0,0,0,4,4,4,5,4,11,3
17,3,1,2,2,2,1,1,1,1,5,4,4,5,2,10,1
17,2,2,2,2,1,0,1,0,1,5,5,5,5,0,10,4
18,1,0,0,0,1,1,0,0,0,4,3,2,4,0,13,1
17,1,1,2,3,1,1,1,1,1,4,5,5,2,0,10,2
18,1,1,0,0,2,1,1,0,0,4,3,3,5,6,10,3
16,2,2,2,3,2,0,1,0,1,5,4,3,1,0,12,1
17,2,2,2,2,1,0,1,0,1,1,2,1,5,0,0,3
16,3,2,3,2,1,0,0,1,0,4,5,5,5,2,10,3
16,1,1,0,2,1,0,1,1,0,4,5,5,5,0,9,3
18,1,1,3,2,1,1,0,1,1,5,3,3,5,2,9,3
18,3,2,3,2,1,0,0,1,0,2,3,1,5,0,0,2
19,3,2,0,3,1,0,1,0,0,3,2,1,3,4,9,1
18,3,3,0,0,2,1,1,1,0,4,4,5,3,9,8,2
16,2,2,3,3,1,1,1,1,1,5,4,3,4,6,8,3
19,2,1,0,2,1,0,1,1,1,4,4,3,5,4,9,2
16,3,2,3,0,2,1,1,0,1,2,5,5,1,8,7,1
17,1,1,2,0,1,1,1,0,0,4,3,2,5,9,10,2
20,1,1,2,2,1,1,0,1,1,4,4,3,4,12,10,3
18,4,3,3,3,1,1,0,1,0,5,4,4,2,8,10,4
18,3,2,2,2,1,1,0,1,0,2,5,5,5,8,11,4
19,1,1,2,3,2,0,0,1,0,5,4,4,2,8,11,3
17,3,3,1,2,2,1,0,1,0,4,5,4,3,4,10,3
18,1,3,0,3,1,0,0,1,1,4,3,3,3,0,9,3
19,1,1,2,2,1,1,0,1,0,4,4,4,5,4,10,3
18,1,2,0,2,2,1,0,0,0,4,3,3,5,2,8,1
19,1,1,0,2,1,1,0,0,0,1,4,4,5,0,7,1
18,2,2,2,2,1,0,0,1,1,5,5,5,3,0,0,1
17,0,0,0,2,1,1,0,1,0,4,4,3,5,0,11,1
17,3,1,2,0,3,1,0,0,0,4,2,3,3,5,8,2
17,4,2,4,3,2,1,1,1,0,5,5,5,5,0,0,2
18,2,2,3,3,2,1,1,1,0,2,3,3,4,3,8,2
17,4,1,1,0,1,1,0,0,1,3,2,2,5,0,9,1
17,1,2,0,2,1,0,0,1,0,5,5,1,3,0,10,1
18,1,1,2,2,2,0,1,0,1,3,4,4,5,3,7,2
18,2,2,3,0,2,0,1,1,0,4,3,5,1,2,14,1
17,3,3,3,3,1,1,0,1,0,4,4,3,4,0,13,1
18,1,2,0,2,2,0,0,1,0,4,4,3,4,0,14,2
18,4,4,4,4,2,0,1,1,0,4,3,5,1,0,18,2
18,4,4,3,2,1,1,1,1,0,5,4,5,5,3,17,1
17,4,2,2,2,2,1,0,1,0,4,3,3,4,0,18,2
18,2,2,0,2,2,0,1,0,1,4,3,3,4,0,0,1
18,1,2,0,3,1,1,0,0,0,4,1,4,1,8,11,4
18,4,4,0,3,1,1,1,1,1,2,5,5,1,5,14,1
17,1,1,2,3,1,0,0,0,0,4,2,3,4,4,14,4
18,2,2,2,2,2,1,0,1,1,1,3,1,2,4,10,1
18,2,2,3,3,3,0,0,1,1,5,4,5,3,0,13,3
18,4,2,4,2,2,0,1,1,1,5,3,1,5,0,0,1
18,1,1,0,3,2,0,0,0,0,4,4,2,2,2,10,2
19,1,1,0,3,1,0,0,0,0,5,5,5,2,0,0,3
17,4,2,4,2,4,0,0,1,1,4,2,3,5,0,18,2
17,2,1,3,2,2,0,1,1,1,5,3,3,2,5,12,2
18,1,1,0,3,2,0,0,0,1,5,2,3,3,2,11,2
18,1,2,0,0,2,1,0,0,0,4,1,1,4,0,12,1
19,1,1,0,0,2,1,1,0,1,3,5,4,1,0,0,3
18,2,2,3,2,3,0,0,1,1,4,2,1,4,5,15,1
17,4,3,3,2,2,1,1,1,1,4,5,5,2,4,11,2
18,3,3,3,3,2,1,0,0,1,5,3,4,5,0,10,1
17,4,4,4,3,2,1,1,1,0,4,3,3,5,2,12,2
17,3,2,3,2,2,0,0,0,1,1,2,3,5,0,15,2
18,1,1,2,3,1,0,0,1,1,3,3,2,3,2,14,2
18,1,1,0,3,3,0,0,1,0,5,3,2,4,0,18,1
18,1,2,0,2,2,0,0,0,1,4,3,4,5,0,15,3
18,3,3,3,3,2,1,0,1,1,4,3,2,3,6,13,2
17,4,4,0,0,2,1,1,1,1,2,3,4,1,4,15,1
17,1,2,2,3,2,0,0,0,0,3,2,2,3,0,13,2
18,1,3,0,2,2,1,0,0,0,3,3,4,3,0,9,3
18,4,4,4,3,3,0,0,1,1,4,2,2,5,0,16,2
17,1,1,2,3,1,1,0,1,1,5,2,1,1,0,9,2
18,2,3,0,3,1,1,0,1,1,5,2,3,4,0,10,2
18,4,4,2,4,2,1,0,1,1,3,2,2,5,0,0,3
18,1,2,0,3,1,1,1,1,1,4,3,3,3,3,10,3
17,2,2,2,0,3,0,1,0,1,3,4,3,3,8,12,1
17,1,2,2,2,1,0,1,1,0,3,5,5,1,4,9,2
18,4,4,2,2,3,0,0,1,0,5,4,4,1,0,17,1
18,1,1,2,2,3,0,0,1,0,4,3,2,4,4,12,2
19,1,1,0,2,2,1,0,1,1,4,3,3,3,4,9,1
18,4,4,4,3,2,0,1,1,0,5,4,3,2,1,14,4
18,3,3,2,2,2,0,0,1,1,4,1,3,1,1,16,2
17,3,1,0,2,2,1,1,1,0,4,5,4,1,10,9,3
18,4,4,4,4,2,0,1,1,0,3,2,4,2,4,19,3
18,2,1,2,2,1,0,1,1,1,4,4,3,5,0,0,2
17,2,3,2,3,2,0,1,1,0,4,4,3,3,4,16,1
19,1,1,2,3,1,0,0,0,0,4,3,2,5,0,0,2
18,4,2,2,2,1,0,0,0,0,5,4,3,3,0,0,3
18,2,2,0,2,3,0,0,0,0,5,3,3,4,0,15,2
17,4,3,4,2,2,0,0,1,0,5,5,4,1,0,11,1
18,4,4,4,0,1,1,1,1,1,4,4,3,5,4,10,2
19,2,3,3,2,3,0,1,1,0,5,4,2,5,4,10,2
18,3,1,4,3,2,1,0,1,0,4,3,4,1,4,16,1
18,1,1,2,2,2,0,1,0,0,1,1,1,5,6,9,1
17,3,1,3,3,1,0,0,1,0,2,4,5,2,6,10,4
18,3,2,3,2,1,0,0,1,0,4,4,1,5,4,11,4